"Venue","Year","DOI","Ext.","Title","Authors","Affiliations","Countries","Award","Certificate","Verified","",""
"10th International Conference on Aspect-Oriented Software Development (AOSD)","2011","https://doi.org/10.1145/1960275.1960284","","Reducing combinatorics in testing product lines","Chang Hwan Peter Kim, Don S. Batory, Sarfraz Khurshid","University of Texas at Austin","USA","Most Influential Paper Award (Programming 2021)","","True","",""
"11th International Conference on Aspect-Oriented Software Development (AOSD)","2012","https://doi.org/10.1145/2162049.2162077","","DiSL: a domain-specific language for bytecode instrumentation","Lukáš Marek, Alex Villazón, Yudi Zheng, Danilo Ansaloni, Walter Binder, Zhengwei Qi","Charles University, Universidad Privada Boliviana, Shanghai Jiao Tong University, University of Lugano","CzechiaBoliviaChinaSwitzerland","Most Influential Paper Award (Programming 2022)","","True","",""
"11th International Conference on Aspect-Oriented Software Development (AOSD)","2012","https://doi.org/10.1145/2162049.2162057","","A fine-grained debugger for aspect-oriented programming","Haihan Yin, Christoph Bockisch, Mehmet Aksit","University of Twente","Netherlands","Best Paper Award","","True","",""
"11th International Conference on Intelligent Systems Design and Applications (ISDA)","2011","https://doi.org/10.1109/ISDA.2011.6121807","","On the scalability of multi-objective metaheuristics for the software scheduling problem","Francisco Luna, David L. Gonzalez-Alvarez, Francisco Chicano, Miguel A. Vega-Rodriguez","University of Málaga, University of Extremadura","Spain","Best Paper Award","","True","",""
"12th European Conference on Evolutionary Computation in Combinatorial Optimization (EvoCOP)","2012","https://link.springer.com/chapter/10.1007/978-3-642-29124-1_10","","Exact computation of the fitness-distance correlation for pseudoboolean functions with one global optimum","Francisco Chicano, Enrique Alba","University of Málaga","Spain","Best Paper Award","","True","",""
"12th International Conference on Aspect-Oriented Software Development (AOSD)","2013","https://doi.org/10.1145/2451436.2451442","","Reactive behavior in object-oriented applications: an analysis and a research roadmap","Guido Salvaneschi, Mira Mezini","Technische Universität Darmstadt","Germany","Best Paper Award","","True","",""
"12th International Conference on Software Reuse (ICSR)","2011","https://link.springer.com/chapter/10.1007/978-3-642-21347-2_9","","Software product line evolution with cardinality-based feature models","Nadia Gámez, Lidia Fuentes","University of Málaga","Spain","Best Paper Award","","True","",""
"12th International Software Product Line Conference (SPLC)","2008","https://doi.org/10.1109/SPLC.2008.16","","Automated diagnosis of product-line configuration errors in feature models","Jules White, Douglas C. Schmidt, David Benavides, Pablo Trinidad, Antonio Ruiz Cortés","Vanderbilt University, University of Seville","USASpain","Best Paper Award","premio-splc2008.pdf","True","",""
"13th International Conference on Modularity","2014","https://doi.org/10.1145/2577080.2577086","","Assessing modularity using co-change clusters","Luciana Lourdes Silva, Marco Tulio Valente, Marcelo de A. Maia","Federal University of Minas Gerais, Federal University of Uberlândia","Brazil","Best Paper Award","","True","",""
"14th German Conference on Multiagent System Technologies (MATES)","2016","https://doi.org/10.1007/978-3-319-45889-2\_12","","Using models at runtime to adapt self-managed agents for the IoT","Inmaculada Ayala, José Miguel Horcas, Mercedes Amor, Lidia Fuentes","University of Málaga","Spain","Best Paper Award","MATES2016_-_Best_Paper.pdf","True","",""
"14th International Conference on Modularity","2015","https://doi.org/10.1145/2724525.2724575","","Feature scattering in the large: a longitudinal study of Linux kernel device drivers","Leonardo Passos, Jesús Padilla, Thorsten Berger, Sven Apel, Krzysztof Czarnecki, Marco Tulio Valente","University of Waterloo, University of Passau, Federal University of Minas Gerais","CanadaGermanyBrazil","Best Paper Award","","True","",""
"15th International Conference on Modularity","2016","https://doi.org/10.1145/2889443.2889448","","The expression problem, trivially!","Yanlin Wang, Bruno C. d. S. Oliveira","University of Hong Kong","China","Best Research Paper Award","","True","",""
"15th International Conference on Modularity","2016","https://doi.org/10.1145/2889443.2889455","","Modular architecture for code and metadata sharing","Tomas Tauber, Bruno C. d. S. Oliveira","University of Hong Kong","China","Best Visions Paper Award","","True","",""
"17th International Conference on Advanced Information Systems Engineering (CAiSE)","2005","https://link.springer.com/chapter/10.1007/11431855_34","","Automated reasoning on feature models","David Benavides, Pablo Trinidad, Antonio Ruiz Cortés","University of Seville","Spain","Most Influential Paper Award (SPLC 2017)","premio-mip.pdf","True","",""
"17th International Conference on Intelligent Software Methodologies, Tools and Techniques (SoMeT)","2018","https://doi.org/10.3233/978-1-61499-900-3-17","","Model driven evolution of an agent-based home energy management system","Inmaculada Ayala, Mercedes Amor, José Miguel Horcas, Lidia Fuentes","University of Málaga","Spain","Award for a Best Paper","SOMET2018_-_Best_Paper.pdf","True","",""
"17th International Configuration Workshop (ConfWS)","2015","https://ceur-ws.org/Vol-1453/14_Haag_ColumnOrientedCompilationOf_Confws-15_p89.pdf","","Column oriented compilation of variant tables","Albert Haag","SAP SE","Germany","Best Paper Award","","True","",""
"18th International Configuration Workshop (ConfWS)","2016","https://hal.science/hal-01445239/","","Recommendation for product configuration: an experimental evaluation","Hélène Fargier, Pierre-François Gimenez, Jérôme Mengin","University of Toulouse","France","Best Paper Award","","True","",""
"19th European Conference on Evolutionary Computation in Combinatorial Optimization (EvoCOP)","2019","https://link.springer.com/chapter/10.1007/978-3-030-16711-0_9","","Quasi-optimal recombination operator","Francisco Chicano, Gabriela Ochoa, Darrell Whitley, Renato Tinós","University of Málaga, University of Stirling, Colorado State University, University of Sao Paulo","SpainUnited KingdomUSABrazil","Best Paper Award","Chicano2019_evocop.jpg","True","",""
"19th International Configuration Workshop (ConfWS)","2017","https://imt-mines-albi.hal.science/hal-01599329/","","Configuration and response to calls for tenders: an open bid configuration model","Delphine Guillon, Abdourahim Sylla, Élise Vareilles, Michel Aldanondo, Eric Villeneuve, Christophe Merlo, Thierry Coudert, Laurent Geneste","IMT Mines Albi-Carmaux, ESTIA, ENI Tarbes","France","Best Student Paper Award","","True","",""
"1st International Conference on Aspect-Oriented Software Development (AOSD)","2002","https://doi.org/10.1145/508386.508404","","Dynamic weaving for aspect-oriented programming","Andrei Popovici, Thomas Gross, Gustavo Alonso","Swiss Federal Institut of Technology Zürich","Switzerland","Most Influential Paper Award (AOSD 2012)","","True","",""
"1st International Workshop on Variability Modelling of Software-Intensive Systems (VaMoS)","2007","http://hdl.handle.net/11441/26357","","FAMA: Tooling a framework for the automated analysis of feature models","David Benavides, Sergio Segura, Pablo Trinidad, Antonio Ruiz Cortés","University of Seville","Spain","Most Influential Paper Award (VaMoS 2020)","premio-mip-vamos.pdf","True","",""
"20th International Workshop on Configuration (ConfWS)","2018","https://graz.elsevierpure.com/en/publications/liquid-democracy-in-group-based-configuration","","Liquid Democracy in Group-based Configuration","Muesluem Atas, Thi Ngoc Trang Tran, Ralph Samer, Alexander Felfernig, Martin Stettinger, Davide Fucci","Graz University of Technology","Austria","Best Paper Award","","True","",""
"21st International Systems and Software Product Line Conference (SPLC) - Data, Demonstrations and Tools track","2017","https://doi.org/10.1145/3109729.3109749","","Extending the Common Variability Language (CVL) Engine: A practical tool","José Miguel Horcas, Mónica Pinto, Lidia Fuentes","University of Málaga","Spain","Hitachi Young Best Paper Award","SPLC2017_-_Best_Paper.pdf","True","",""
"21th ACM/IEEE International Conference on Model Driven Engineering Languages and Systems (MoDELS)","2018","https://doi.org/10.1145/3239372.3239394","","Expressing confidence in models and in model transformation elements","Loli Burgueño, Manuel F. Bertoa, Nathalie Moreno, Antonio Vallecillo","University of Málaga","FranceSpain","Best Paper Award","","True","",""
"22nd International Workshop on Configuration (ConfWS)","2020","https://orbit.dtu.dk/en/publications/a-development-approach-towards-user-centered-front-ends-for-knowl","","A development approach towards user-centered front-ends for knowledge-based engineering configurators: a study within planning of robot-based automation solutions","Eike Schäffer, Sara Shafiee, Tobias Frühwald, Jörg Franke","Friedrich-Alexander University Erlangen-Nürnberg","Germany","Best Paper 2020","ConfWS2020.jpg","True","",""
"23rd International Conference on User Modeling, Adaptation and Personalization (UMAP)","2015","https://doi.org/10.1007/978-3-319-20267-9\_10","","Counteracting anchoring effects in group decision making","Martin Stettinger, Alexander Felfernig, Gerhard Leitner, Stefan Reiterer","Graz University of Technology, UniversitätsstraßE","Austria","James Chen Best Student Paper Award","","True","",""
"23rd International Workshop on Configuration (ConfWS)","2021","https://ceur-ws.org/Vol-2945/32-JMHA-ConfWS21\_paper\_19.pdf","","Monte Carlo simulations for variability analyses in highly configurable systems","José Miguel Horcas, A. Germán Márquez, José A. Galindo, David Benavides","University of Seville","Spain","Best Paper Award","ConfWS2021_-_Best_Paper.pdf","True","",""
"23rd International Workshop on Configuration (ConfWS)","2021","https://ceur-ws.org/Vol-2945/52-RW-ConfWS21_paper_16.pdf","","Integrating sustainability information in configurators","Robin Wiezorek, Noemi Christensen","CAS Software AG","Germany","Best Student Paper Award","","True","",""
"24th ACM Conference on Systems and Software Product Line (SPLC)","2020","https://doi.org/10.1145/3382025.3414950","","Requirements-driven configuration of emergency response missions with small aerial vehicles","Jane Cleland-Huang, Ankit Agrawal, Md Nafee Al Islam, Eric Tsai, Maxime Van Speybroeck, Michael Vierhauser","University of Notre Dame, University of Namur, Johannes Kepler University Linz","USABelgiumAustria","Best Paper Award","","True","",""
"25th ACM International Systems and Software Product Line Conference (SPLC)","2021","https://doi.org/10.1145/3461001.3471146","https://doi.org/10.1016/j.jss.2022.111551","Monte Carlo tree search for feature model analyses: a general framework for decision-making","José Miguel Horcas, José A. Galindo, Ruben Heradio, David Fernandez-Amoros, David Benavides","University of Seville, National Distance Education University (UNED)","Spain","Best Research Paper Award","SPLC2021_-_Best_Paper.pdf","True","",""
"25th ACM International Systems and Software Product Line Conference (SPLC)","2021","https://doi.org/10.1145/3461001.3471155","","A comparison of performance specialization learning for configurable systems","Hugo Martin, Mathieu Acher, Juliana Alves Pereira, Jean-Marc Jézéquel","Univ Rennes, Pontifical Catholic University of Rio de Janeiro","FranceBrazil","Best Research Paper Award","SPLC2021_1.jpg","True","",""
"25th International Conference on Transdisciplinary Engineering (ISTE)","2018","https://doi.org/10.3233/978-1-61499-898-3-665","","Glencoe – A Tool for Specification, Visualization and Formal Analysis of Product Lines","Anna Schmitt, Christian Bettinger, Georg Rock","Trier University of Applied Sciences","Germany","Best Paper Award","","True","",""
"26th ACM International Systems and Software Product Line Conference (SPLC)","2022","https://doi.org/10.1145/3546932.3546991","","Adaptive behavioral model learning for software product lines","Shaghayegh Tavassoli, Carlos Diego N. Damasceno, Ramtin Khosravi, Mohammad Reza Mousavi","University of Tehran, Radboud University Nijmegen, King's College London","IrelandNetherlandsUnited Kingdom","Best Research Paper Award","","True","",""
"29th International Conference on Software Engineering and Knowledge Engineering (SEKE)","2017","https://doi.org/10.18293/SEKE2017-093","","Knowledge-based learning content generation in the STUDYBATTLES environment","Amal Shehadeh, Alexander Felfernig, Michael Jeran, Martin Stettinger, Stefan Reiterer","Graz University of Technology, SelectionArts GmbH","Austria","Best Paper Award","","True","",""
"2nd International Conference on Aspect-Oriented Software Development (AOSD)","2003","https://doi.org/10.1145/643603.643605","","Modularisation and composition of aspectual requirements","Awais Rashid, Ana Moreira, Joāo Araújo","Lancaster University Lancaster, FCT","United KingdomPortugal","Most Influential Paper Award (AOSD 2013)","","True","",""
"3rd European Conference on Model Driven Architecture - Foundations and Applications (ECMDA-FA)","2007","https://link.springer.com/chapter/10.1007/978-3-540-72901-3_7","","Execution of aspect oriented UML models","Lidia Fuentes, Pablo Sánchez","University of Málaga","Spain","Best Paper Award","","True","",""
"3rd International Conference on Aspect-Oriented Software Development (AOSD)","2004","https://doi.org/10.1145/976270.976276","","Advice weaving in AspectJ","Erik Hilsdale, Jim Hugunin","PARC, Want of a Nail Software","USA","Most Influential Paper Award (Modularity 2014)","","True","",""
"4th International Conference on Aspect-Oriented Software Development (AOSD)","2005","https://doi.org/10.1145/1052898.1052912","","Mylar: a degree-of-interest model for IDEs","Mik Kersten, Gail C. Murphy","University of British Columbia","Canada","Most Influential Paper Award (Modularity 2015)","","True","",""
"5th International Conference on Aspect-Oriented Software Development (AOSD)","2006","https://doi.org/10.1145/1119655.1119666","","A join point for loops in AspectJ","Bruno Harbulot, John R. Gurd","The University of Manchester","United Kingdom","Most Influential Paper Award (Modularity 2016)","","True","",""
"6th International Conference on Aspect-Oriented Software Development (AOSD)","2007","https://doi.org/10.1145/1218563.1218587","","Using natural language program analysis to locate and understand action-oriented concerns","David Shepherd, Zachary P. Fry, Emily Hill, Lori Pollock, K. Vijay-Shanker","University of Delaware","USA","Most Influential Paper Award (Programming 2017)","","True","",""
"7th International Conference on Aspect-Oriented Software Development (AOSD)","2008","https://doi.org/10.1145/1353482.1353503","","Expressive scoping of dynamically-deployed aspects","Éric Tanter","University of Chile","Chile","Most Influential Paper Award (Programming 2018)","","True","",""
"8th ACM International Conference on Aspect-Oriented Software Development (AOSD)","2009","https://doi.org/10.1145/1509239.1509274","","Can we refactor conditional compilation into aspects?","Bram Adams, Wolfgang De Meuter, Herman Tromp, Ahmed E. Hassan","Queen's University, Vrije Universiteit Brussel, Ghent University","BelgiumCanada","Most Influential Paper Award (Programming 2019)","","True","",""
"8th International Conference on Intelligent Networking and Collaborative Systems (INCoS)","2016","https://doi.org/10.1109/INCoS.2016.21","","Optimal allocation of public parking slots using evolutionary algorithms","Javier Arellano Verdejo, Enrique Alba","University of Málaga","Spain","Best Paper Award","","True","",""
"9th International Conference on Aspect-Oriented Software Development (AOSD)","2010","https://doi.org/10.1145/1739230.1739236","","Execution levels for aspect-oriented programming","Éric Tanter","University of Chile","Chile","Best Paper Award, Most Influential Paper Award (Programming 2021)","","True","",""
"9th International Conference on Parallel Problem Solving from Nature (PPSN)","2006","https://link.springer.com/chapter/10.1007/11844297_25","","Theory and practice of cellular UMDA for discrete optimization","Enrique Alba, Julio Madera, Bernabé Dorronsoro Díaz, Carlos Alberto Ochoa Ortíz Zezzatti, Marta Soto","University of Málaga, Camagüey University, ""The Institute of Cybernetics, Mathematics and Physics""","SpainCuba","Best Poster Award","EnriqueAlba_PPSN2006.jpeg","True","",""
"Evolutionary Computation in Combinatorial Optimization","2007","https://link.springer.com/chapter/10.1007/978-3-540-71615-0_10","","Evolutionary algorithms for real-world instances of the automatic frequency planning problem in GSM networks","Francisco Luna, Enrique Alba, Antonio J. Nebro, Salvador Pedraza","University of Málaga, Optimi Corp.","Spain","7th European Conference on Evolutionary Computation in Combinatorial Optimization (EvoCOP)","","True","",""
"International Conference in Energy and Sustainability in Small Developing Economies (ES2DE)","2017","https://doi.org/10.1109/ES2DE.2017.8015334","","HADAS and web services: Eco-efficiency assistant and repository use case evaluation","Daniel Jesús Munoz, Mónica Pinto, Lidia Fuentes","University of Málaga","Spain","Best Student Paper Award","BestPaperES2DE.pdf","True","",""
"The Genetic and Evolutionary Computation Conference (GECCO) - Evolutionary Combinatorial Optimization and Metaheuristics track","2018","https://doi.org/10.1145/3205455.3205561","","Enhancing partition crossover with articulation points analysis","Francisco Chicano, Gabriela Ochoa, Darrell Whitley, Renato Tinós","University of Málaga, University of Stirling, Colorado State University, University of São Paulo","SpainUnited KingdomUSABrazil","Best Paper Award","","True","",""
"The Genetic and Evolutionary Computation Conference (GECCO) - Evolutionary Multiobjective Optimization track","2016","https://doi.org/10.1145/2908812.2908856","","A multi-objective evolutionary algorithm based on parallel coordinates","Raquel Hernández Gómez, Carlos A. Coello Coello, Enrique Alba Torres","CINVESTAV-IPN, University of Málaga","MexicoSpain","Best Paper Award","","True","",""
"The Genetic and Evolutionary Computation Conference (GECCO) - Genetic Algorithms track","2018","https://doi.org/10.1145/3205455.3205482","","Tunneling between plateaus: improving on a state-of-the-art MAXSAT solver using partition crossover","Wenxiang Chen, Darrell Whitley, Renato Tinós, Francisco Chicano","Colorado State University, University of São Paulo, University of Málaga","USABrazilSpain","Best Paper Award","","True","",""
"The Genetic and Evolutionary Computation Conference (GECCO) - Search-Based Software Engineering track","2008","https://doi.org/10.1145/1389095.1389431","","Searching for liveness property violations in concurrent systems with ACO","Enrique Alba, Francisco Chicano","University of Málaga","Spain","Best Paper Award","","True","",""